Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Hapul S Helm : 4 潜口竜の堅殻, 4 潜口竜の頭殻, 2 潜口竜の上皮, 5 フロギィの上鱗
Hapul S Mail : 4 潜口竜の上皮, 4 潜口竜の堅殻, 4 極彩色の体液, 5 フロギィの皮
Hapul S Vambraces : 3 潜口竜の尖爪, 3 潜口竜の堅殻, 4 極彩色の体液, 5 毒狗竜の皮
Hapul S Faulds : 2 潜口竜の尖爪, 3 潜口竜の上皮, 4 鮮やかな体液, 3 毒狗竜の堅腕甲
Hapul S Greaves : 4 潜口竜の堅殻, 1 竜玉, 3 尖竜骨, 4 毒狗竜の上皮
Hapul S Cap : 4 潜口竜の堅殻, 4 潜口竜の頭殻, 2 潜口竜の上皮, 5 フロギィの上鱗
Hapul S Vest : 4 潜口竜の上皮, 4 潜口竜の堅殻, 4 極彩色の体液, 5 フロギィの皮
Hapul S Guards : 3 潜口竜の尖爪, 3 潜口竜の堅殻, 4 極彩色の体液, 5 毒狗竜の皮
Hapul S Coat : 2 潜口竜の尖爪, 3 潜口竜の上皮, 4 鮮やかな体液, 3 毒狗竜の堅腕甲
Hapul S Leggings : 4 潜口竜の堅殻, 1 竜玉, 3 尖竜骨, 4 毒狗竜の上皮
Nargacuga Helm : 5 迅竜の上黒毛, 5 迅竜の尾棘, 1 竜玉, 6 青熊獣の剛毛
Nargacuga Mail : 4 迅竜の上鱗, 5 迅竜の鋭牙, 1 迅竜の延髄, 6 王族カナブン
Nargacuga Vambraces : 3 迅竜の鋭刃翼, 5 迅竜の上鱗, 5 迅竜の尾棘, 5 垂皮竜の上皮
Nargacuga Faulds : 5 迅竜の上黒毛, 1 迅竜の尻尾, 3 迅竜の鋭刃翼, 4 青熊獣の堅殻
Nargacuga Greaves : 5 迅竜の鋭牙, 5 迅竜の上鱗, 1 迅竜の延髄, 3 マレコガネ
Nargacuga Cap : 5 迅竜の上黒毛, 5 迅竜の尾棘, 1 竜玉, 6 青熊獣の剛毛
Nargacuga Vest : 4 迅竜の上鱗, 5 迅竜の鋭牙, 1 迅竜の延髄, 6 王族カナブン
Nargacuga Guards : 3 迅竜の鋭刃翼, 5 迅竜の上鱗, 5 迅竜の尾棘, 5 垂皮竜の上皮
Nargacuga Coat : 5 迅竜の上黒毛, 1 迅竜の尻尾, 3 迅竜の鋭刃翼, 4 青熊獣の堅殻
Nargacuga Leggings : 5 迅竜の鋭牙, 5 迅竜の上鱗, 1 迅竜の延髄, 3 マレコガネ
Lagiacrus S Helm : 2 海竜の尖角, 4 海竜の上皮, 2 海竜の角, 4 海流の鱗
Lagiacrus S Mail : 4 海竜の上皮, 1 海竜の蒼玉, 1 海竜の逆鱗, 2 氷牙竜の上毛皮
Lagiacrus S Vambraces : 5 海竜の鋭爪, 2 海竜の高電殻, 5 海竜の上鱗, 2 海竜の背電殻
Lagiacrus S Faulds : 2 海竜の高電殻, 5 海竜の上鱗, 1 海竜の逆鱗, 1 海竜の尻尾
Lagiacrus S Greaves : 5 海竜の上鱗, 4 海竜の上皮, 5 海竜の鋭爪, 3 氷牙竜の棘
Lagiacrus S Cap : 2 海竜の尖角, 4 海竜の上皮, 2 海竜の角, 4 海流の鱗
Lagiacrus S Vest : 4 海竜の上皮, 1 海竜の蒼玉, 1 海竜の逆鱗, 2 氷牙竜の上毛皮
Lagiacrus S Guards : 5 海竜の鋭爪, 2 海竜の高電殻, 5 海竜の上鱗, 2 海竜の背電殻
Lagiacrus S Coat : 2 海竜の高電殻, 5 海竜の上鱗, 1 海竜の逆鱗, 1 海竜の尻尾
Lagiacrus S Leggings : 5 海竜の上鱗, 4 海竜の上皮, 5 海竜の鋭爪, 3 氷牙竜の棘
Lagiacrus U Helm : 2 白海竜の尖角, 5 白海竜の上皮, 4 海竜の尖角, 2 尾槌竜の尖角
Lagiacrus U Mail : 5 白海竜の上皮, 1 海竜の蒼玉, 1 海竜の逆鱗, 1 風牙竜の尻尾
Lagiacrus U Vambraces : 3 白海竜の上皮, 3 白海竜の高電殻, 4 海竜の鋭爪, 3 海竜の高電殻
Lagiacrus U Faulds : 3 白海竜の高電殻, 4 白海竜の上鱗, 1 海竜の逆鱗, 2 海竜の尻尾
Lagiacrus U Greaves : 4 白海竜の上鱗, 3 白海竜の上皮, 2 海竜の鋭爪, 2 氷牙竜の棘
Lagiacrus U Cap : 2 白海竜の尖角, 5 白海竜の上皮, 4 海竜の尖角, 2 尾槌竜の尖角
Lagiacrus U Vest : 5 白海竜の上皮, 1 海竜の蒼玉, 1 海竜の逆鱗, 1 風牙竜の尻尾
Lagiacrus U Guards : 3 白海竜の上皮, 3 白海竜の高電殻, 4 海竜の鋭爪, 3 海竜の高電殻
Lagiacrus U Coat : 3 白海竜の高電殻, 4 白海竜の上鱗, 1 海竜の逆鱗, 2 海竜の尻尾
Lagiacrus U Leggings : 4 白海竜の上鱗, 3 白海竜の上皮, 2 海竜の鋭爪, 2 氷牙竜の棘
Rathalos S Helm : 4 火竜の上鱗, 1 火竜の紅玉, 3 爆炎袋, 3 尖竜骨
Rathalos S Mail : 5 火竜の上鱗, 4 火竜の甲殻, 4 火竜の翼膜, 2 ユニオン鉱石
Rathalos S Vambraces : 4 火竜の上鱗, 2 火竜の翼爪, 1 火竜の尻尾, 2 獄炎石
Rathalos S Faulds : 6 火竜の堅殻, 4 火竜の翼膜, 1 火竜の逆鱗, 2 ユニオン鉱石
Rathalos S Greaves : 6 火竜の堅殻, 2 火竜の延髄, 6 火竜の鱗, 4 紅蓮石
Rathalos S Cap : 4 火竜の上鱗, 1 火竜の紅玉, 3 爆炎袋, 3 尖竜骨
Rathalos S Vest : 5 火竜の上鱗, 4 火竜の甲殻, 4 火竜の翼膜, 2 ユニオン鉱石
Rathalos S Guards : 4 火竜の上鱗, 2 火竜の翼爪, 1 火竜の尻尾, 2 獄炎石
Rathalos S Coat : 6 火竜の堅殻, 4 火竜の翼膜, 1 火竜の逆鱗, 2 ユニオン鉱石
Rathalos S Leggings : 6 火竜の堅殻, 2 火竜の延髄, 6 火竜の鱗, 4 紅蓮石
RioSoul Helm : 2 蒼火竜の堅殻, 1 蒼火竜の翼, 1 火竜の紅玉, 3 王族カナブン
RioSoul Mail : 3 蒼火竜の堅殻, 3 蒼火竜の上鱗, 3 爆炎袋, 2 堅竜骨
RioSoul Vambraces : 2 蒼火竜の堅殻, 3 蒼火竜の尻尾, 3 堅竜骨, 3 カブレライト鉱石
RioSoul Faulds : 2 蒼火竜の堅殻, 4 蒼火竜の上鱗, 3 カブレライト鉱石, 2 爆炎袋
RioSoul Greaves : 2 蒼火竜の堅殻, 3 蒼火竜の上鱗, 1 火竜の紅玉, 2 獄炎石
RioSoul Cap : 2 蒼火竜の堅殻, 1 蒼火竜の翼, 1 火竜の紅玉, 3 王族カナブン
RioSoul Vest : 3 蒼火竜の堅殻, 3 蒼火竜の上鱗, 3 爆炎袋, 2 堅竜骨
RioSoul Guards : 2 蒼火竜の堅殻, 3 蒼火竜の尻尾, 3 堅竜骨, 3 カブレライト鉱石
RioSoul Coat : 2 蒼火竜の堅殻, 4 蒼火竜の上鱗, 3 カブレライト鉱石, 2 爆炎袋
RioSoul Leggings : 2 蒼火竜の堅殻, 3 蒼火竜の上鱗, 1 火竜の紅玉, 2 獄炎石
Jinouga Helm : 2 雷狼竜の尖角, 4 雷狼竜の高電毛, 3 雷狼竜の堅殻, 1 竜玉
Jinouga Mail : 4 雷狼竜の高電毛, 5 雷狼竜の堅殻, 1 雷狼竜の碧玉, 20 雷光虫
Jinouga Vambraces : 5 雷狼竜の尖爪, 4 雷狼竜の高電殻, 3 雷狼竜の高電毛, 6 ファンゴの毛皮
Jinouga Faulds : 5 雷狼竜の堅殻, 3 雷狼竜の高電毛, 1 雷狼竜の尻尾, 1 雷狼竜の碧玉
Jinouga Greaves : 5 雷狼竜の堅殻, 5 雷狼竜の尖爪, 3 雷狼竜の高電殻, 10 超電雷光虫
Jinouga Cap : 2 雷狼竜の尖角, 4 雷狼竜の高電毛, 3 雷狼竜の堅殻, 1 竜玉
Jinouga Vest : 4 雷狼竜の高電毛, 5 雷狼竜の堅殻, 1 雷狼竜の碧玉, 20 雷光虫
Jinouga Guards : 5 雷狼竜の尖爪, 4 雷狼竜の高電殻, 3 雷狼竜の高電毛, 6 ファンゴの毛皮
Jinouga Coat : 5 雷狼竜の堅殻, 3 雷狼竜の高電毛, 1 雷狼竜の尻尾, 1 雷狼竜の碧玉
Jinouga Leggings : 5 雷狼竜の堅殻, 5 雷狼竜の尖爪, 3 雷狼竜の高電殻, 10 超電雷光虫
Bracchidios Helm : 3 砕竜の黒曜甲, 1 砕竜の頭殻, 3 なぞの粘菌, 2 獄炎石
Bracchidios Mail : 4 砕竜の堅殻, 3 砕竜の黒曜甲, 4 ユニオン鉱石, 3 赤熱した堅胸殻
Bracchidios Vambraces : 3 砕竜の黒曜甲, 2 砕竜の剛拳, 3 なぞの粘菌, 4 溶岩塊
Bracchidios Faulds : 2 砕竜の黒曜甲, 1 砕竜の尻尾, 1 砕竜の宝玉, 4 砕竜の堅殻
Bracchidios Greaves : 4 砕竜の堅殻, 2 なぞの粘菌, 2 砕竜の剛拳, 5 カブレライト鉱石
Bracchidios Cap : 3 砕竜の黒曜甲, 1 砕竜の頭殻, 3 なぞの粘菌, 2 獄炎石
Bracchidios Vest : 4 砕竜の堅殻, 3 砕竜の黒曜甲, 4 ユニオン鉱石, 3 赤熱した堅胸殻
Bracchidios Guards : 3 砕竜の黒曜甲, 2 砕竜の剛拳, 3 なぞの粘菌, 4 溶岩塊
Bracchidios Coat : 2 砕竜の黒曜甲, 1 砕竜の尻尾, 1 砕竜の宝玉, 4 砕竜の堅殻
Bracchidios Leggings : 4 砕竜の堅殻, 2 なぞの粘菌, 2 砕竜の剛拳, 5 カブレライト鉱石
Dobol S Helm : 2 尾槌竜の尖角, 6 尾槌竜の堅殻, 1 尾槌竜の尾骨, 3 ファンゴの毛皮
Dobol S Mail : 2 尾槌竜の尖角, 4 尾槌竜のコブ, 1 竜玉, 6 ファンゴの毛皮
Dobol S Vambraces : 6 尾槌竜の堅殻, 2 尾槌竜の堅尾甲, 5 尾槌竜の堅苔甲, 6 垂皮竜の上皮
Dobol S Faulds : 4 尾槌竜の堅苔甲, 6 尾槌竜の堅殻, 1 尾槌竜の仙骨, 4 垂皮竜の上皮
Dobol S Greaves : 3 尾槌竜の堅尾甲, 5 尾槌竜の堅苔甲, 4 尾槌竜のコブ, 5 堅竜骨
Dobol S Cap : 2 尾槌竜の尖角, 6 尾槌竜の堅殻, 1 尾槌竜の尾骨, 3 ファンゴの毛皮
Dobol S Vest : 2 尾槌竜の尖角, 4 尾槌竜のコブ, 1 竜玉, 6 ファンゴの毛皮
Dobol S Guards : 6 尾槌竜の堅殻, 2 尾槌竜の堅尾甲, 5 尾槌竜の堅苔甲, 6 垂皮竜の上皮
Dobol S Coat : 4 尾槌竜の堅苔甲, 6 尾槌竜の堅殻, 1 尾槌竜の仙骨, 4 垂皮竜の上皮
Dobol S Leggings : 3 尾槌竜の堅尾甲, 5 尾槌竜の堅苔甲, 4 尾槌竜のコブ, 5 堅竜骨
Ranger's Headgear : 2 闘技王のコイン, 3 水竜のコイン, 4 爆炎袋, 3 勇気の証
Ranger's Girdle : 2 闘技王のコイン, 3 飛竜のコイン, 4 電撃袋, 3 勇気の証
Ranger's Gauntlets : 2 闘技王のコイン, 3 海竜のコイン, 4 凍結袋, 3 勇気の証
Ranger's Faulds : 2 闘技王のコイン, 3 牙獣のコイン, 4 大水袋, 3 勇気の証
Ranger's Espadrilles : 2 闘技王のコイン, 2 牙獣のコイン, 1 大地の龍玉, 3 勇気の証
Archer's Turban : 2 闘技王のコイン, 3 水竜のコイン, 4 爆炎袋, 3 勇気の証
Archer's Girdle : 2 闘技王のコイン, 3 飛竜のコイン, 4 電撃袋, 3 勇気の証
Archer's Gauntlets : 2 闘技王のコイン, 3 海竜のコイン, 4 凍結袋, 3 勇気の証
Archer's Bandolier : 2 闘技王のコイン, 3 牙獣のコイン, 4 大水袋, 3 勇気の証
Archer's Espadrilles : 2 闘技王のコイン, 2 牙獣のコイン, 1 大地の龍玉, 3 勇気の証
Ancient Mail : 3 大きな太古の破片, 5 さびた破片, 3 ユニオン鉱石, 6 カブレライト鉱石
Ancient Vambraces : 3 細い太古の破片, 5 さびた破片, 3 ユニオン鉱石, 9 ドラグライト鉱石
Ancient Greaves : 3 長い太古の破片, 5 さびた破片, 4 グラシスメタル, 9 ドラグライト鉱石
Ancient Vest : 3 大きな太古の破片, 5 さびた破片, 3 ユニオン鉱石, 6 カブレライト鉱石
Ancient Guards : 3 細い太古の破片, 5 さびた破片, 3 ユニオン鉱石, 9 ドラグライト鉱石
Ancient Leggings : 3 長い太古の破片, 5 さびた破片, 4 グラシスメタル, 9 ドラグライト鉱石
Dober Helm : 4 いにしえの龍骨, 1 迅竜の鋭牙, 10 上質な鳥竜骨, 8 上竜骨
Dober Mail : 3 いにしえの龍骨, 4 黒角竜の堅甲, 3 堅竜骨, 20 竜骨【小】
Dober Vambraces : 3 いにしえの龍骨, 3 風牙竜の鋭爪, 2 古龍の血, 5 竜骨【大】
Dober Coil : 3 いにしえの龍骨, 3 雷狼竜の尖爪, 5 堅牢な骨, 10 竜骨【中】
Dober Greaves : 3 いにしえの龍骨, 2 凍戈竜の鋭爪, 5 尖竜骨, 10 大きな骨
Dober Cap : 4 いにしえの龍骨, 1 迅竜の鋭牙, 10 上質な鳥竜骨, 8 上竜骨
Dober Vest : 3 いにしえの龍骨, 4 黒角竜の堅甲, 3 堅竜骨, 20 竜骨【小】
Dober Guards : 3 いにしえの龍骨, 3 風牙竜の鋭爪, 2 古龍の血, 5 竜骨【大】
Dober Coat : 3 いにしえの龍骨, 3 雷狼竜の尖爪, 5 堅牢な骨, 10 竜骨【中】
Dober Leggings : 3 いにしえの龍骨, 2 凍戈竜の鋭爪, 5 尖竜骨, 10 大きな骨
Diablos S Helm : 5 角竜の堅殻, 4 角竜の尾甲, 1 竜玉, 4 毒狗竜の上皮
Diablos S Mail : 5 角竜の堅甲, 3 上質なねじれた角, 3 角竜の背甲, 7 草食竜の甲殻
Diablos S Vambraces : 6 角竜の堅殻, 5 角竜の牙, 6 角竜の甲殻, 3 毒狗竜の腕甲
Diablos S Faulds : 6 角竜の堅甲, 6 角竜の牙, 1 角竜の延髄, 6 草食竜の堅殻
Diablos S Greaves : 6 角竜の堅殻, 5 ねじれた角, 3 堅竜骨, 3 草食竜の頭殻
Diablos S Cap : 5 角竜の堅殻, 4 角竜の尾甲, 1 竜玉, 4 毒狗竜の上皮
Diablos S Vest : 5 角竜の堅甲, 3 上質なねじれた角, 3 角竜の背甲, 7 草食竜の甲殻
Diablos S Guards : 6 角竜の堅殻, 5 角竜の牙, 6 角竜の甲殻, 3 毒狗竜の腕甲
Diablos S Coat : 6 角竜の堅甲, 6 角竜の牙, 1 角竜の延髄, 6 草食竜の堅殻
Diablos S Leggings : 6 角竜の堅殻, 5 ねじれた角, 3 堅竜骨, 3 草食竜の頭殻
Diablos U Helm : 4 黒角竜の堅殻, 4 角竜の尾甲, 1 竜玉, 4 甲虫の腹袋
Diablos U Mail : 2 上質な黒巻き角, 5 黒角竜の堅甲, 2 角竜の骨髄, 4 狗竜の尖爪
Diablos U Vambraces : 4 黒角竜の堅殻, 5 角竜の牙, 1 角竜の延髄, 4 狗竜の爪
Diablos U Faulds : 6 黒角竜の堅甲, 5 黒角竜の堅殻, 6 角竜の牙, 3 上質な腹袋
Diablos U Greaves : 5 黒角竜の堅殻, 5 ねじれた角, 4 堅竜骨, 4 甲虫の大顎
Diablos U Cap : 4 黒角竜の堅殻, 4 角竜の尾甲, 1 竜玉, 4 甲虫の腹袋
Diablos U Vest : 2 上質な黒巻き角, 5 黒角竜の堅甲, 2 角竜の骨髄, 4 狗竜の尖爪
Diablos U Guards : 4 黒角竜の堅殻, 5 角竜の牙, 1 角竜の延髄, 4 狗竜の爪
Diablos U Coat : 6 黒角竜の堅甲, 5 黒角竜の堅殻, 6 角竜の牙, 3 上質な腹袋
Diablos U Leggings : 5 黒角竜の堅殻, 5 ねじれた角, 4 堅竜骨, 4 甲虫の大顎
Agnaktor S Helm : 5 炎戈竜の堅殻, 2 炎戈竜の碇口, 4 炎戈竜の上皮, 4 毒狗竜の上皮
Agnaktor S Mail : 4 炎戈竜の上皮, 2 炎戈竜の上ヒレ, 5 炎戈竜の堅殻, 2 獄炎石
Agnaktor S Vambraces : 5 炎戈竜の鋭爪, 5 炎戈竜の堅殻, 1 炎戈竜の尻尾, 6 溶岩塊
Agnaktor S Faulds : 3 炎戈竜の上ヒレ, 5 炎戈竜の燃鱗, 8 溶岩獣の上鱗, 5 毒狗竜の皮
Agnaktor S Greaves : 5 赤熱した堅胸殻, 4 炎戈竜の上皮, 1 竜玉, 3 毒狗竜の腕甲
Agnaktor S Cap : 5 炎戈竜の堅殻, 2 炎戈竜の碇口, 4 炎戈竜の上皮, 4 毒狗竜の上皮
Agnaktor S Vest : 4 炎戈竜の上皮, 2 炎戈竜の上ヒレ, 5 炎戈竜の堅殻, 2 獄炎石
Agnaktor S Guards : 5 炎戈竜の鋭爪, 5 炎戈竜の堅殻, 1 炎戈竜の尻尾, 6 溶岩塊
Agnaktor S Coat : 3 炎戈竜の上ヒレ, 5 炎戈竜の燃鱗, 8 溶岩獣の上鱗, 5 毒狗竜の皮
Agnaktor S Leggings : 5 赤熱した堅胸殻, 4 炎戈竜の上皮, 1 竜玉, 3 毒狗竜の腕甲
Agnaktor U Helm : 5 凍戈竜の堅殻, 2 凍戈竜の碇口, 3 凍戈竜の上皮, 8 なめらかな皮
Agnaktor U Mail : 4 凍戈竜の上皮, 3 凍戈竜の上ヒレ, 5 凍戈竜の堅殻, 4 眠狗竜の皮
Agnaktor U Vambraces : 3 凍戈竜の鋭爪, 5 凍戈竜の堅殻, 1 竜玉, 3 眠狗竜の鋭爪
Agnaktor U Faulds : 2 凍戈竜の上ヒレ, 1 凍戈竜の尻尾, 4 凍戈竜の上皮, 3 眠狗竜の爪
Agnaktor U Greaves : 5 潤った堅胸殻, 2 凍戈竜の上ヒレ, 3 凍戈竜の鋭爪, 4 眠狗竜の上皮
Agnaktor U Cap : 5 凍戈竜の堅殻, 2 凍戈竜の碇口, 3 凍戈竜の上皮, 8 なめらかな皮
Agnaktor U Vest : 4 凍戈竜の上皮, 3 凍戈竜の上ヒレ, 5 凍戈竜の堅殻, 4 眠狗竜の皮
Agnaktor U Guards : 3 凍戈竜の鋭爪, 5 凍戈竜の堅殻, 1 竜玉, 3 眠狗竜の鋭爪
Agnaktor U Coat : 2 凍戈竜の上ヒレ, 1 凍戈竜の尻尾, 4 凍戈竜の上皮, 3 眠狗竜の爪
Agnaktor U Leggings : 5 潤った堅胸殻, 2 凍戈竜の上ヒレ, 3 凍戈竜の鋭爪, 4 眠狗竜の上皮
Uragaan S Helm : 4 爆鎚竜の堅殻, 4 爆鎚竜の骨髄, 3 溶岩塊, 3 赤甲獣の堅殻
Uragaan S Mail : 5 爆槌竜の堅殻, 3 爆槌竜の顎, 6 爆槌竜の鱗, 1 獄炎石
Uragaan S Vambraces : 5 爆鎚竜の上鱗, 5 爆鎚竜の耐熱殻, 3 尖竜骨, 3 ユニオン鉱石
Uragaan S Faulds : 6 爆鎚竜の上鱗, 1 爆鎚竜の紅玉, 4 爆鎚竜の甲殻, 5 赤甲獣の甲殻
Uragaan S Greaves : 5 爆鎚竜の堅殻, 6 爆鎚竜の上鱗, 1 竜玉, 2 赤甲獣の蛇腹甲
Uragaan S Cap : 4 爆鎚竜の堅殻, 4 爆鎚竜の骨髄, 3 溶岩塊, 3 赤甲獣の堅殻
Uragaan S Vest : 5 爆槌竜の堅殻, 3 爆槌竜の顎, 6 爆槌竜の鱗, 1 獄炎石
Uragaan S Guards : 5 爆鎚竜の上鱗, 5 爆鎚竜の耐熱殻, 3 尖竜骨, 3 ユニオン鉱石
Uragaan S Coat : 6 爆鎚竜の上鱗, 1 爆鎚竜の紅玉, 4 爆鎚竜の甲殻, 5 赤甲獣の甲殻
Uragaan S Leggings : 5 爆鎚竜の堅殻, 6 爆鎚竜の上鱗, 1 竜玉, 2 赤甲獣の蛇腹甲
Uragaan U Helm : 5 鋼鎚竜の堅殻, 2 爆鎚竜の骨髄, 1 竜玉, 3 赤甲獣の爪
Uragaan U Mail : 3 鋼槌竜の剛顎, 2 鋼槌竜の耐熱殻, 5 鋼槌竜の上鱗, 3 ユニオン鉱石
Uragaan U Vambraces : 4 鋼鎚竜の上鱗, 1 爆鎚竜の紅玉, 5 溶岩塊, 3 赤甲獣の尖爪
Uragaan U Faulds : 3 鋼鎚竜の耐熱殻, 4 鋼鎚竜の上鱗, 4 鋼鎚竜の堅殻, 1 獄炎石
Uragaan U Greaves : 5 鋼鎚竜の堅殻, 4 鋼鎚竜の上鱗, 2 鋼鎚竜の剛顎, 2 赤甲獣の蛇腹甲
Uragaan U Cap : 5 鋼鎚竜の堅殻, 2 爆鎚竜の骨髄, 1 竜玉, 3 赤甲獣の爪
Uragaan U Vest : 3 鋼槌竜の剛顎, 2 鋼槌竜の耐熱殻, 5 鋼槌竜の上鱗, 3 ユニオン鉱石
Uragaan U Guards : 4 鋼鎚竜の上鱗, 1 爆鎚竜の紅玉, 5 溶岩塊, 3 赤甲獣の尖爪
Uragaan U Coat : 3 鋼鎚竜の耐熱殻, 4 鋼鎚竜の上鱗, 4 鋼鎚竜の堅殻, 1 獄炎石
Uragaan U Leggings : 5 鋼鎚竜の堅殻, 4 鋼鎚竜の上鱗, 2 鋼鎚竜の剛顎, 2 赤甲獣の蛇腹甲
Damascus Helm : 4 峯山龍の上蒼鱗, 4 桜火竜の上鱗, 2 雌火竜の上棘, 2 勇気の証
Damascus Mail : 4 猛々しい龍鋭牙, 6 蒼火竜の堅殻, 2 恐暴竜の唾液, 2 勇気の証
Damascus Vambraces : 4 峯山龍の上蒼鱗, 4 蒼火竜の上鱗, 2 恐暴竜の唾液, 2 勇気の証
Damascus Coil : 6 峯山龍の堅岩殻, 4 桜火竜の上鱗, 4 蒼火竜の上鱗, 2 勇気の証
Damascus Greaves : 6 峯山龍の堅岩殻, 6 桜火竜の堅殻, 1 蒼火竜の尻尾, 2 勇気の証
Damascus Cap : 4 峯山龍の上蒼鱗, 4 桜火竜の上鱗, 2 雌火竜の上棘, 2 勇気の証
Damascus Vest : 4 猛々しい龍鋭牙, 6 蒼火竜の堅殻, 2 恐暴竜の唾液, 2 勇気の証
Damascus Guards : 4 峯山龍の上蒼鱗, 4 蒼火竜の上鱗, 2 恐暴竜の唾液, 2 勇気の証
Damascus Coat : 6 峯山龍の堅岩殻, 4 桜火竜の上鱗, 4 蒼火竜の上鱗, 2 勇気の証
Damascus Leggings : 6 峯山龍の堅岩殻, 6 桜火竜の堅殻, 1 蒼火竜の尻尾, 2 勇気の証
Yamato Kabuto/Hinata Hachigane : 4 猛々しい龍鋭牙, 5 峯山龍の上蒼鱗, 3 峯山龍の堅岩殻, 1 雌火竜の逆鱗
Yamato Muneate/Hinata Muneate : 6 峯山龍の堅岩殻, 4 猛々しい龍鋭牙, 1 古龍の血, 6 上質なヒレ
Yamato Kote/Hinata Kote : 6 峯山龍の上蒼鱗, 1 峯山龍の上腕甲, 1 大地の龍玉, 3 デプスライト鉱石
Yamato Koshiate/Hinata Koshiate : 4 峯山龍の上腕甲, 6 峯山龍の堅岩殻, 2 峯山龍の上蒼鱗, 1 火竜の逆鱗
Yamato Gusoku/Hinata Hakama : 5 峯山龍の上蒼鱗, 6 峯山龍の堅岩殻, 1 大地の龍玉, 10 大きなヒレ
Mutsu Eboshi/Amagi Hachigane : 4 猛々しい龍鋭牙, 5 峯山龍の上蒼鱗, 3 峯山龍の堅岩殻, 1 雌火竜の逆鱗
Mutsu Muneate/Amagi Muneate : 6 峯山龍の堅岩殻, 4 猛々しい龍鋭牙, 1 古龍の血, 6 上質なヒレ
